red and white striped cloth,baraze
to help | to aid,ba re
measurement of cloth,bari
congratulation,barika
accident | misfortune,barima
salutation for the ranks lefiti,baru
pretence | simulation | to pretend | to feign ,baru
small calabash from basa country,basa
kind of sauce,basa
empty threat,basaku
exclamation of delight,basasa
roasted meat on skewers sold in the market,basanta
originally a small skin box used for perfume or tobacco,bata
swamp | marsh,bata
agate and cornelian stones used in a woman's necklace,batako
nonsensical | absurd,batarama
to forget,bata
sickness | disease | illness,bata
stick or a piece of grass shaken by the current,batetegi
to amuse,ba tsa
yonder | over there,batsogi
to cause to cease for the present | to cut short,batu
to exceed,ba tu
trouble,bauta
to be fond of flesh,bavu
yellow wagtail,bawonbawogi
wide,bawugi
to wink | to blink the eyes,baye
bullying | a scaring | a frightening | a browbeating ,bayedzu
dampness,bayeko
small grey parasite | louse,bayekogi
mirror | glass | gunsight,bayele
to think | to expect,bayeshi
light | daylight | dawn,bayeti
yam cultivar,bayidza
woman's parents-in-law,bayiwo
to converse | to chat,bàzà
darkness | blackness,bàʒìkò
swearing | a pledging | a boasting,bàʒì
to shine | to reflect,bã́
to hoe,bã́
to wag | to wave | to cast the eyes around | to wriggle,bã́
to be indented | to be crumpled | to be broken | to sag,bã
to sprain | to rick,bã̀
to hang | suspend,bã̀
steep bank of a river or pit,bã̀bã
cliff,bã̀bãkó
after (this time),bã́dã̀ bãyici
letter of the alphabet | a word,bãki
growth | maturing | filling out | puberty,bã̀lã̌ ga
swarm | a mob | a noisy crowd | a hive,bã̌ mbã̀fú
town gate-keeper,bã̀mpaci
lover of finery | immoral person | prostitute (either sex),bãmvogi
skeleton | book cover,bãngo
thomson's and senegalese gazelle,bã̀rewagi
saddleless | barebacked | alert | punctual,bãrije
rank among warriors,bã̀rǐʒe
verse in poetry,bã́tì
to exceed | to be over,bãtú
european wool or yarn (all colours),bã̀túre
changing | a conversion | an alteration | repentance,bã̀ʒè
great | mighty | powerful,bã̀ʒini
mature bull,bã̀ʒini
to come | to result,bé
to add to,be
again,be
to stare,bè
to blow | to play | to sound a wind instrument,bè
to resemble,bè
to fart,bè
to spread | to stretch apart,bè
tree species,béci
pineapple,bèdàibo
first,bědzò
to smell sweet,bèkã́
possibly,bèke...nã
swelling breasts of a young girl,běkò
small stubby banana,běkògi
to yield | to submit to | to stretch as rubber,bélè
only | alone,bèlě
rank among the upper kyadya,bèlě
very much | tremendously,bélényí
promiscuous man or woman,bémbélègi
some time ago,běnãi
apron | loincloth,bènte
nupe sub-tribe,bènu
rank among native princes,bènǔ
with | from | by,bènyi bè...nyi
to do in addition to something else,bé...re
only used with a negative (ironic),bè...rè
throat | voice,bèrè
distinctly | plainly | clearly,bérébéré
welcome | gently | carefully,bèrènyi
squash or pumpkin quartered and cooked,běʃé
really,bèʃì
to overflow,beya
to terrify | to brow beat | to bully,bèyé
to crumble | to crush,bí
ugly,bi
albino,biabiá
ram,biabiandundungi biabiandurugi
salutation for nã́già,biándiá
very large (denoting area),biàwùkóyí
valuable stone worn in a necklace,bǐbàgi kòrò
local bagpipes,bǐbàgi nãmfa
toy windmill,bîbîgi
beat or throb of the heart,bǐbǐnyí
grass ash,bíbírí
saving,bibòlugwa
amphisbaenid snake,bìbòrwà
to run | flee | abscond,bici
foot | leg,bìcí
stumbling,bicici
at once | immediately,bìcí ení
foot | before | at the foot of,bìcíta
iron spike used as a locking lever by weavers,bída
chief of the bìni tribe,bǐdǎ
black and white dappled (horse),bìdi
very large,bǐdìdì
brain,bìdzobìdzo
to be weak,bifo
rectum,bigũ̀
desire,bìki
